Person Id,Surname,Title,Given Names,Teach Period,Unit Code,Team ID,Email
12345678,Lim ,Mr,Kee Ee,S2 2020,ICT302,FT01,datos.tech.student@gmail.com
13569746,Koh,Ms,Qian En,S2 2020,ICT302,FT01,datos.tech.student@gmail.com
14793814,Gan,Ms,Gok Hui,S2 2020,ICT302,FT01,datos.tech.student@gmail.com
16017882,Goh,Mr,Lee Hui,S2 2020,ICT302,FT01,datos.tech.student@gmail.com
17241950,Tan,Ms,Jun En,S2 2020,ICT302,FT01,datos.tech.student@gmail.com
18466018,Tan,Mr,Qiao Hui,S2 2020,ICT302,FT01,datos.tech.student@gmail.com
19690086,Ong,Mr,Pei Lin,S2 2020,ICT302,FT02,datos.tech.student@gmail.com
20914154,Mohd,Mr,Naim,S2 2020,ICT302,FT02,datos.tech.student@gmail.com
22138222,Thevan,Mr,Raj,S2 2020,ICT302,FT02,datos.tech.student@gmail.com
23362290,Pravin,Mr,Prab,S2 2020,ICT302,FT02,datos.tech.student@gmail.com
24586358,Nur,Ms,Amira,S2 2020,ICT302,FT02,datos.tech.student@gmail.com
25810426,Siti,Ms,Amelia,S2 2020,ICT302,FT02,datos.tech.student@gmail.com
27034494,Baraiman,Mr,Pree,S2 2020,ICT302,FT03,datos.tech.student@gmail.com
27058494,A,Mr,Aravintan,S2 2020,ICT302,FT03,datos.tech.student@gmail.com
27082494,Farah,Ms,Amira,S2 2020,ICT302,FT03,datos.tech.student@gmail.com
27106494,Nur,Ms,Etiqa,S2 2020,ICT302,FT03,datos.tech.student@gmail.com
27130494,Park,Mr,Jun Ken,S2 2020,ICT302,FT03,datos.tech.student@gmail.com
27154494,Kenneth,Ms,Lim,S2 2020,ICT302,FT04,datos.tech.student@gmail.com
27178494,Johnny,Mr,Huang,S2 2020,ICT302,FT04,datos.tech.student@gmail.com
27202494,Mohammad,Mr,Fariz,S2 2020,ICT302,FT04,datos.tech.student@gmail.com
27226494,Bar,Mr,Iskandar,S2 2020,ICT302,FT04,datos.tech.student@gmail.com
27250494,Shafiq,Mr,Hamdan,S2 2020,ICT302,FT04,datos.tech.student@gmail.com
27274494,Low,Mr,Ken Jong,S2 2020,ICT302,FT05,datos.tech.student@gmail.com
27298494,Avni,Ms,Faye,S2 2020,ICT302,FT05,datos.tech.student@gmail.com
27322494,Pree,Ms,Hura,S2 2020,ICT302,FT05,datos.tech.student@gmail.com
27346494,Mohd,Mr,Faiz,S2 2020,ICT302,FT05,datos.tech.student@gmail.com
27370494,Mohd,Mr,Azli,S2 2020,ICT302,FT05,datos.tech.student@gmail.com
27394494,Chan,Ms,Ting,S2 2020,ICT302,FT05,datos.tech.student@gmail.com
27418494,Gan,Mr,Wan Chen,S2 2020,ICT302,FT06,datos.tech.student@gmail.com
27442494,Fatimah,Ms,Sura,S2 2020,ICT302,FT06,datos.tech.student@gmail.com
27466494,Bhavana,Ms,Sop,S2 2020,ICT302,FT06,datos.tech.student@gmail.com
27490494,Zeng,Mr,Zi Hui,S2 2020,ICT302,FT06,datos.tech.student@gmail.com
27514494,Gan,Ms,Hui En,S2 2020,ICT302,FT06,datos.tech.student@gmail.com
27538494,Pree,Mr,Fazmi,S2 2020,ICT302,FT06,datos.tech.student@gmail.com
33672925,Tan,Ms,Wei Teng,S2 2020,ICT302,FT07,datos.tech.student@gmail.com
33214758,Ong,Ms,Xin Ling,S2 2020,ICT302,FT07,datos.tech.student@gmail.com
33214426,Chan,Ms,Kar Man,S2 2020,ICT302,FT07,datos.tech.student@gmail.com
31452569,Sree,Ms,Shiva Sankari,S2 2020,ICT302,FT07,datos.tech.student@gmail.com
32015596,S,Mr,Saravannan,S2 2020,ICT302,FT07,datos.tech.student@gmail.com
